Site URL,Publisher Email,DA,DR,Traffic,SS,Category,Country,Language,TAT,Base Price,Status
https://vogue.com,fashion@vogue.com,89,88,4200000,1,FASHION_BEAUTY,US,en,7-10 days,450,ACTIVE
https://elle.com,editor@elle.com,84,83,2800000,2,FASHION_BEAUTY,US,en,5-7 days,375,ACTIVE
https://cosmopolitan.com,editor@cosmopolitan.com,82,81,3100000,2,FASHION_BEAUTY,US,en,4-6 days,325,ACTIVE
https://hgtv.com,editorial@hgtv.com,80,79,2600000,1,REAL_ESTATE_HOME_IMPROVEMENT,US,en,6-8 days,275,ACTIVE
https://bhg.com,editor@bhg.com,77,78,2200000,2,REAL_ESTATE_HOME_IMPROVEMENT,US,en,5-7 days,250,ACTIVE
https://houzz.com,design@houzz.com,79,80,1900000,1,REAL_ESTATE_HOME_IMPROVEMENT,US,en,4-6 days,300,ACTIVE
https://espn.com,sports@espn.com,91,90,12500000,1,SPORTS_FITNESS,US,en,2-4 days,475,ACTIVE
https://si.com,editor@si.com,85,84,4800000,2,SPORTS_FITNESS,US,en,3-5 days,350,ACTIVE
https://bleacherreport.com,editor@bleacherreport.com,82,83,3900000,3,SPORTS_FITNESS,US,en,2-3 days,325,ACTIVE
https://variety.com,entertainment@variety.com,83,82,2700000,1,ENTERTAINMENT_MEDIA,US,en,4-6 days,325,ACTIVE
https://hollywoodreporter.com,editor@hollywoodreporter.com,81,80,2100000,2,ENTERTAINMENT_MEDIA,US,en,5-7 days,300,ACTIVE
https://ew.com,entertainment@ew.com,79,78,1800000,2,ENTERTAINMENT_MEDIA,US,en,3-5 days,275,ACTIVE
https://caranddriver.com,editor@caranddriver.com,78,79,1600000,1,TECHNOLOGY_GADGETS,US,en,5-7 days,250,ACTIVE
https://motortrend.com,editor@motortrend.com,76,77,1400000,2,TECHNOLOGY_GADGETS,US,en,4-6 days,225,ACTIVE
https://autoweek.com,editor@autoweek.com,74,75,980000,3,TECHNOLOGY_GADGETS,US,en,6-8 days,200,ACTIVE
https://realtor.com,editorial@realtor.com,84,83,3400000,1,REAL_ESTATE_HOME_IMPROVEMENT,US,en,3-5 days,350,ACTIVE
https://zillow.com,editorial@zillow.com,87,86,5200000,2,REAL_ESTATE_HOME_IMPROVEMENT,US,en,4-6 days,400,ACTIVE
https://redfin.com,blog@redfin.com,81,82,2100000,1,REAL_ESTATE_HOME_IMPROVEMENT,US,en,5-7 days,300,ACTIVE
https://parents.com,editor@parents.com,79,78,1900000,1,PARENTING_RELATIONSHIPS,US,en,6-8 days,250,ACTIVE
https://whattoexpect.com,editorial@whattoexpect.com,76,77,1500000,2,PARENTING_RELATIONSHIPS,US,en,5-7 days,225,ACTIVE
https://babycenter.com,editorial@babycenter.com,78,79,1700000,1,PARENTING_RELATIONSHIPS,US,en,4-6 days,275,ACTIVE
https://petmd.com,veterinary@petmd.com,75,76,1200000,1,HEALTH_FITNESS,US,en,7-10 days,200,ACTIVE
https://akc.org,editorial@akc.org,77,78,980000,2,LIFESTYLE_WELLNESS,US,en,5-8 days,225,ACTIVE
https://petfinder.com,editorial@petfinder.com,74,75,850000,1,LIFESTYLE_WELLNESS,US,en,6-9 days,175,ACTIVE
https://diynetwork.com,editorial@diynetwork.com,73,74,1100000,2,REAL_ESTATE_HOME_IMPROVEMENT,US,en,8-10 days,200,ACTIVE
https://craftsy.com,editorial@craftsy.com,71,72,750000,1,LIFESTYLE_WELLNESS,US,en,7-9 days,175,ACTIVE
https://marthastewart.com,editorial@marthastewart.com,80,79,1600000,1,LIFESTYLE_WELLNESS,US,en,6-8 days,275,ACTIVE
https://edutopia.org,editorial@edutopia.org,76,77,950000,1,EDUCATION_CAREER,US,en,10-14 days,200,ACTIVE
https://chronicle.com,editor@chronicle.com,78,79,680000,2,EDUCATION_CAREER,US,en,7-10 days,225,ACTIVE
https://insidehighered.com,editor@insidehighered.com,74,75,520000,1,EDUCATION_CAREER,US,en,8-12 days,175,ACTIVE
https://lifehacker.com,editorial@lifehacker.com,81,80,2300000,2,LIFESTYLE_WELLNESS,US,en,3-5 days,300,ACTIVE
https://mindbodygreen.com,editorial@mindbodygreen.com,77,78,1400000,1,LIFESTYLE_WELLNESS,US,en,5-7 days,250,ACTIVE
https://wellandgood.com,editorial@wellandgood.com,75,76,1100000,2,LIFESTYLE_WELLNESS,US,en,4-6 days,225,ACTIVE
